report_date,symbol,Open,Close,High,Low,Volume
2010-12-15,SPY,124.44,124.1,124.93,123.89,160823100
2010-12-16,SPY,124.18,124.82,124.91,123.75,185035200
2010-12-17,SPY,124.08,124.3,124.46,123.82,141075300
2010-12-20,SPY,124.64,124.6,124.9,123.98,119085500
2010-12-21,SPY,124.99,125.39,125.47,124.87,94965500
2010-12-22,SPY,125.48,125.78,125.82,125.41,78878100
2010-12-23,SPY,125.64,125.6,125.78,125.29,70053700
2010-12-27,SPY,125.13,125.65,125.77,125.04,58126000
2010-12-28,SPY,125.9,125.83,125.95,125.5,55309100
2010-12-29,SPY,125.98,125.92,126.2,125.9,58033100
2010-12-30,SPY,125.8,125.72,126.13,125.53,76616900
2010-12-31,SPY,125.53,125.75,125.87,125.33,91218900
2011-01-03,SPY,126.71,127.05,127.6,125.7,138725200
2011-01-04,SPY,127.33,126.98,127.37,126.19,137409700
2011-01-05,SPY,126.58,127.64,127.72,126.46,133975300
2011-01-06,SPY,127.69,127.39,127.83,127.01,122519000
2011-01-07,SPY,127.56,127.14,127.77,126.15,156034600
2011-01-10,SPY,126.58,126.98,127.16,126.2,122401700
2011-01-11,SPY,127.44,127.43,127.74,126.95,110287000
2011-01-12,SPY,128.21,128.58,128.72,127.46,107929200
2011-01-13,SPY,128.63,128.37,128.69,128.05,129048400
2011-01-14,SPY,128.19,129.3,129.33,128.1,117677900
2011-01-18,SPY,129.18,129.52,129.64,129.03,114401300
2011-01-19,SPY,129.41,128.25,129.54,127.91,151958400
2011-01-20,SPY,127.96,128.08,128.4,127.13,175745700
2011-01-21,SPY,128.88,128.37,129.17,128.23,151462900
2011-01-24,SPY,128.29,129.1,129.25,128.26,113715500
2011-01-25,SPY,128.76,129.17,129.28,128.11,167552200
2011-01-26,SPY,129.49,129.67,130.05,129.23,141281500
2011-01-27,SPY,129.7,129.99,130.21,129.47,123302700
2011-01-28,SPY,130.14,127.72,130.35,127.51,295637300
2011-01-31,SPY,128.07,128.68,128.78,127.75,149249200
2011-02-01,SPY,129.46,130.74,130.97,129.38,167194300
2011-02-02,SPY,130.4,130.49,130.84,130.33,118323600
2011-02-03,SPY,130.26,130.78,130.98,129.57,145886700
2011-02-04,SPY,130.83,131.15,131.2,130.23,134634800
2011-02-07,SPY,131.44,131.97,132.4,131.43,112439100
